user_id,timestamp,channel,conversion,conversion_value
user_18779,2023-02-08,Social Media,0,0
user_13494,2023-01-15,Organic Search,0,0
user_2532,2023-01-21,Paid Search,0,0
user_11317,2023-01-19,Organic Search,0,0
user_13927,2023-01-11,Paid Search,0,0
user_5376,2023-02-05,Direct,0,0
user_19148,2023-01-03,Social Media,0,0
user_313,2023-01-02,Direct,0,0
user_18780,2023-01-30,Referral,0,0
user_10109,2023-03-01,Social Media,0,0
user_19386,2023-01-12,Social Media,0,0
user_7088,2023-02-13,Paid Search,0,0
user_2165,2023-01-27,Direct,0,0
user_10430,2023-02-11,Organic Search,0,0
user_14827,2023-03-01,Paid Search,0,0
user_12518,2023-02-16,Paid Search,0,0
user_8778,2023-02-13,Email,0,0
user_14219,2023-02-26,Social Media,0,0
user_17912,2023-02-20,Paid Search,0,0
user_12689,2023-01-09,Social Media,0,0
user_15339,2023-01-04,Email,1,23
user_10593,2023-02-19,Email,0,0
user_12151,2023-01-26,Social Media,0,0
user_3344,2023-01-20,Email,0,0
user_14395,2023-03-01,Social Media,0,0
user_16907,2023-01-08,Direct,0,0
user_12605,2023-01-14,Paid Search,0,0
user_3544,2023-02-19,Email,0,0
user_278,2023-01-02,Direct,0,0
user_1782,2023-02-23,Email,0,0
user_11107,2023-02-23,Paid Search,0,0
user_6185,2023-01-18,Social Media,0,0
user_17031,2023-02-03,Direct,0,0
user_10590,2023-02-05,Direct,0,0
user_6565,2023-02-17,Email,0,0
user_11482,2023-01-14,Organic Search,0,0
user_13589,2023-02-26,Direct,1,94
user_7854,2023-01-16,Organic Search,0,0
user_16133,2023-02-16,Social Media,0,0
user_3886,2023-01-26,Direct,1,69
user_2470,2023-03-01,Paid Search,0,0
user_1750,2023-01-29,Email,0,0
user_7719,2023-01-01,Referral,0,0
user_6694,2023-01-09,Paid Search,0,0
user_10990,2023-02-13,Referral,0,0
user_15617,2023-01-11,Referral,0,0
user_15181,2023-01-08,Social Media,0,0
user_6996,2023-02-02,Organic Search,0,0
user_17571,2023-02-11,Paid Search,0,0
user_15993,2023-02-10,Social Media,1,82
user_16198,2023-01-08,Referral,0,0
user_6602,2023-02-02,Email,0,0
user_8955,2023-01-23,Email,0,0
user_13464,2023-02-06,Organic Search,0,0
user_8392,2023-02-09,Direct,0,0
user_4576,2023-02-04,Organic Search,0,0
user_5147,2023-02-06,Paid Search,1,12
user_8059,2023-01-01,Paid Search,0,0
user_18692,2023-02-24,Referral,0,0
user_11277,2023-02-08,Social Media,0,0
user_1179,2023-01-15,Paid Search,0,0
user_7466,2023-02-11,Paid Search,0,0
user_2767,2023-02-20,Direct,0,0
user_13219,2023-02-08,Direct,0,0
user_16525,2023-02-01,Email,0,0
user_3886,2023-02-06,Organic Search,0,0
user_4350,2023-02-14,Referral,0,0
user_3651,2023-01-29,Organic Search,0,0
user_6935,2023-02-01,Organic Search,0,0
user_3906,2023-02-20,Social Media,0,0
user_3210,2023-01-02,Social Media,0,0
user_17650,2023-02-26,Referral,0,0
user_16165,2023-01-28,Paid Search,0,0
user_1223,2023-02-13,Paid Search,0,0
user_19968,2023-01-11,Social Media,0,0
user_11629,2023-02-24,Paid Search,0,0
user_3042,2023-02-08,Direct,1,10
user_10436,2023-02-26,Direct,0,0
user_2497,2023-02-26,Organic Search,0,0
user_10915,2023-02-10,Organic Search,0,0
user_4400,2023-01-06,Email,0,0
user_3960,2023-01-09,Direct,0,0
user_256,2023-02-02,Social Media,0,0
user_12689,2023-02-13,Organic Search,0,0
user_16867,2023-02-28,Direct,0,0
user_13838,2023-02-01,Social Media,0,0
user_4086,2023-02-21,Organic Search,0,0
user_216,2023-02-18,Organic Search,0,0
user_11223,2023-01-12,Direct,0,0
user_127,2023-01-02,Referral,0,0
user_10215,2023-02-06,Paid Search,0,0
user_18288,2023-01-17,Referral,0,0
user_8299,2023-01-02,Social Media,0,0
user_395,2023-02-23,Referral,0,0
user_18614,2023-02-01,Referral,1,28
user_3625,2023-01-02,Referral,0,0
user_4170,2023-01-26,Social Media,1,41
user_2590,2023-02-24,Paid Search,0,0
user_14730,2023-01-11,Referral,0,0
user_8314,2023-01-17,Paid Search,0,0
user_5397,2023-01-24,Paid Search,0,0
user_1766,2023-02-03,Email,0,0
user_19893,2023-01-11,Referral,0,0
user_10778,2023-01-16,Email,0,0
user_7094,2023-03-01,Social Media,0,0
user_5142,2023-01-16,Paid Search,0,0
user_3326,2023-01-20,Referral,0,0
user_5332,2023-02-05,Paid Search,0,0
user_7430,2023-01-03,Email,0,0
user_17438,2023-01-20,Referral,0,0
user_13776,2023-02-21,Social Media,1,49
user_13492,2023-02-08,Direct,1,10
user_3831,2023-01-11,Paid Search,0,0
user_18739,2023-01-25,Referral,0,0
user_3883,2023-01-31,Organic Search,0,0
user_12668,2023-02-04,Paid Search,0,0
user_1857,2023-01-16,Paid Search,0,0
user_18187,2023-02-26,Direct,0,0
user_12617,2023-02-18,Direct,0,0
user_3905,2023-02-17,Referral,1,78
user_7004,2023-02-06,Direct,0,0
user_16049,2023-02-24,Social Media,0,0
user_13689,2023-02-04,Organic Search,0,0
user_18852,2023-01-16,Direct,0,0
user_13894,2023-01-24,Direct,0,0
user_16270,2023-02-02,Email,0,0
user_4430,2023-01-11,Referral,1,45
user_10110,2023-02-07,Paid Search,0,0
user_16032,2023-02-04,Paid Search,0,0
user_15975,2023-01-25,Organic Search,0,0
user_7017,2023-01-29,Organic Search,0,0
user_5139,2023-02-15,Referral,0,0
user_13896,2023-02-23,Referral,0,0
user_10209,2023-02-10,Referral,0,0
user_13681,2023-01-04,Referral,0,0
user_19966,2023-01-21,Paid Search,0,0
user_762,2023-02-25,Direct,0,0
user_19395,2023-01-07,Direct,0,0
user_16693,2023-02-02,Social Media,0,0
user_4171,2023-02-28,Email,0,0
user_10703,2023-02-24,Email,0,0
user_19692,2023-01-30,Organic Search,1,60
user_6900,2023-02-23,Paid Search,1,36
user_4814,2023-02-03,Direct,0,0
user_5914,2023-02-02,Referral,0,0
user_6512,2023-02-02,Email,0,0
user_757,2023-02-17,Paid Search,0,0
user_7631,2023-02-04,Organic Search,0,0
user_2024,2023-01-17,Paid Search,1,39
user_1068,2023-01-29,Referral,0,0
user_13040,2023-01-06,Email,0,0
